,From,To,Value,Year
0,Czech Republic , Poland,502.0,2018
1,Sweden , Germany,1300.0,2018
2,Germany , Poland,1900.0,2018
3,Sweden , Poland,3100.0,2018
4,Czech Republic , Austria,2500.0,2018
5,Norway , Netherlands,4000.0,2018
6,Germany , Luxembourg,4400.0,2018
7,Austria , Switzerland,5300.0,2018
8,Norway , Denmark,5100.0,2018
9,Netherlands , Belgium,5700.0,2018
10,Sweden , Denmark,5800.0,2018
11,Denmark , Germany,6400.0,2018
12,Czech Republic , Germany,8200.0,2018
13,Norway , Sweden,10300.0,2018
14,Germany , Switzerland,9900.0,2018
15,Germany , Netherlands,15200.0,2018
16,France , Belgium,16000.0,2018
17,Germany , France,14900.0,2018
18,France , Switzerland,17500.0,2018
19,Germany , Austria,36800.0,2018
0,Poland , Czech Republic,423.0,2018
1,Germany , Sweden,468.0,2018
2,Poland , Germany,1000.0,2018
3,Poland , Sweden,379.0,2018
4,Austria , Czech Republic,1500.0,2018
5,Netherlands , Norway,402.0,2018
6,Luxembourg , Germany,161.0,2018
7,Switzerland , Austria,1100.0,2018
8,Denmark , Norway,2700.0,2018
9,Belgium , Netherlands,2500.0,2018
10,Denmark , Sweden,3700.0,2018
11,Germany , Denmark,6300.0,2018
12,Germany , Czech Republic,6000.0,2018
13,Sweden , Norway,5000.0,2018
14,Switzerland , Germany,5700.0,2018
15,Netherlands , Germany,627.0,2018
16,Belgium , France,1500.0,2018
17,France , Germany,6500.0,2018
18,Switzerland , France,5800.0,2018
19,Austria , Germany,11600.0,2018
